id,male,age,inc,time,pri_nee_gen_1,pri_nee_gen_2,pri_nee_gen_3,pri_nee_gen_4,pri_nee_soc_1,pri_nee_soc_2,pri_nee_soc_3,pri_nee_soc_4,pri_nee_soc_5,pri_nee_soc_6,pri_nee_soc_7,pri_nee_soc_8,pri_nee_soc_9,pri_nee_int_1,pri_nee_int_2,pri_nee_int_3,pri_nee_int_4,pri_nee_int_5,pri_nee_int_6,pri_nee_int_7,pri_nee_int_8,pri_nee_int_9,soc_1,soc_2,soc_3,soc_4,soc_5,soc_6,soc_7,soc_8,itg_1,itg_2,itg_3,itg_4,itg_5,itg_6,itg_7,itg_8,itg_9,itg_10,itg_11,anx_1,anx_2,anx_3,anx_4,anx_5,anx_6,anx_7,anx_8,ria_1,ria_2,ria_3,ria_4,ria_5,ria_6,ria_7,ria_8,tra_1,tra_2,tra_3,tra_4,tra_5,tra_6,tra_7,tra_8
257,0,23,2,1845,3,5,6,7,6,6,6,5,6,6,2,2,5,5,2,2,7,3,2,6,3,6,3,5,5,5,3,5,2,6,1,7,6,6,1,2,2,2,3,6,3,5,3,5,3,3,3,5,2,2,6,5,6,3,5,6,6,5,7,5,7,2,6,1,6
258,1,18,2,1314,5,4,6,6,5,4,4,5,3,3,3,2,4,2,5,6,5,5,3,5,4,5,3,5,5,6,5,6,2,6,2,2,6,6,3,2,2,2,3,5,3,3,3,3,4,3,6,4,5,5,6,5,5,5,5,6,6,6,5,5,5,5,5,5,5
259,0,18,1,1419,4,5,6,6,5,4,3,5,3,4,2,4,4,4,2,4,6,6,3,4,6,4,2,4,4,5,4,4,2,6,2,2,4,3,4,3,3,5,5,6,5,3,3,3,3,3,3,4,3,4,5,5,3,4,5,2,4,5,7,6,5,3,6,3,5
260,0,19,2,22834,5,3,5,5,6,7,6,6,6,4,6,6,7,3,3,5,6,3,3,6,4,5,3,4,4,4,5,3,2,3,3,4,5,5,5,1,5,6,6,5,7,6,1,6,2,6,6,7,1,6,7,4,6,4,5,6,5,7,7,7,7,7,7,7,5
261,0,21,4,2142,3,3,6,5,5,6,7,7,5,7,1,1,6,1,5,7,5,5,3,4,3,5,2,5,4,5,3,5,2,5,1,1,7,7,1,1,1,1,1,5,5,2,5,2,5,2,5,2,5,4,5,4,5,5,5,5,5,4,5,5,4,6,5,3,5
262,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
263,1,21,5,892,7,7,7,7,6,6,6,7,5,7,6,6,5,6,5,7,6,6,6,6,6,7,1,7,4,7,7,7,1,7,4,4,4,4,4,4,4,4,4,4,4,6,3,3,6,6,6,6,6,7,4,7,5,7,1,5,2,6,6,6,7,6,7,7,6
264,1,21,1,5229,5,5,5,6,4,4,3,3,3,3,3,3,3,5,4,5,3,5,3,3,5,4,3,4,3,6,4,4,2,4,5,4,3,4,4,4,5,5,5,5,5,6,3,5,3,3,2,5,5,6,4,4,3,4,5,5,5,4,5,5,6,5,4,5,4
265,0,19,1,1075,4,4,6,5,6,6,6,6,6,4,2,4,6,2,2,6,6,3,3,5,2,4,5,6,3,7,4,4,3,5,5,4,4,5,5,4,3,5,6,6,5,2,5,1,3,1,7,4,4,6,6,6,6,3,6,6,6,3,6,5,5,5,5,4,3
266,NA,NA,NA,606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,4,6,3,5,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,3,3,2,6,3,6,4,6,4,6,4,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA
267,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
